Recipe Name,URL,appetizers & sides,beef,bread,breakfast & brunch,chicken,comfort food,dessert,fish & seafood,holiday dishes,lighter meals,Mexican,pasta,pizza,sandwiches,salads,soups & stews,sauces,weeknight meals,pork,vegetarian,burgers,Asian,BBQ & grilling,quick & easy,slow cooker,eggs,tacos,meal prep,dips & spreads
Mom's 30 Minute Spaghetti Sauce,/recipes/moms-spaghetti,,,,,,,,,,,,,X,,,,X,X,,,X,,,X,,,,,,
15 Minute Chilaquiles,/recipes/15-minute-chilaquiles,,,,X,,,,,,,,,,,,,,X,,,,,,X,,,X,,,
French Onion Soup,/recipes/french-onion-soup,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
Broccoli Cheddar Soup,/recipes/broccoli-cheddar-soup,,,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,
Chicken Noodle Soup,/recipes/chicken-noodle-soup,,,,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,,
Fried Rice,/recipes/fried-rice,,,,,,,,,,,,,,,,,,,X,,X,,,,X,,,X,,
Beef and Broccoli,/recipes/beef-and-broccoli,,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,
Chow Mein,/recipes/chow-mein,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
GOAT Breakfast Sandwich,/recipes/best-quick-breakfast-sandwich,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,
Chorizo Egg Taco,/recipes/chorizo-egg-taco,,,,X,,,,,,,,,,,,,,,,X,,,,X,,,X,,
15 Minute Shakshuka,/recipes/15-minute-shakshuka,,,,X,,,,,,,,,,,,,,,,X,,,,X,,X,,,
15 Minute Danbing,/recipes/15-minute-danbing,,,,X,,,,,,,,,,,,,,,,,,X,,X,,X,,,
White Wine Lemon Butter Sauce,/recipes/lemon-butter-sauce,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Brown Butter Caper Sauce,/recipes/sauce-muniere,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Beurre Rouge,/recipes/beurre-rouge,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Herby Compound Butter,/recipes/herby-compound-butter,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Bulletproof Blender Hollandaise Sauce,/recipes/blender-hollandaise,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Beef Bourguignon,/recipes/beef-bourguignon,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,,
Irish Beef & Stout Stew,/recipes/irish-beef-stew,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,,
Hungarian Goulash,/recipes/hungarian-goulash,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,,
Weeknight Roast Chicken Dinner,/recipes/weeknight-roast-chicken-dinner,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,
Shrimp Scampi Pasta,/recipes/shrimp-scampi-pasta,,,,,,,,,X,,,,X,,,,,,X,,,,,X,,,,,
Potato Gnocchi with Gorgonzola Sauce,/recipes/potato-gnocchi,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,
Shakshuka,/recipes/shakshuka,,,,X,,,,,,X,,,,,,,,,X,,,,,,,X,,,
Falafel with Tahini Sauce,/recipes/falafel-with-tahini,X,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,
New York Style Pizza,/recipes/new-york-style-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
General Tso's Chicken,/recipes/general-tsos-chicken,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,,,
Chicken Aloo Vindaloo,/recipes/chicken-vindaloo,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,
Chicken Thigh Orange Chicken,/recipes/orange-chicken-thighs,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,,,
Chicken Thigh Khao Soi,/recipes/chicken-thigh-khao-soi,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,
Carne Asada Tacos,/recipes/carne-asada,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,
Strawberry Ice Cream,/recipes/strawberry-ice-cream,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Chocolate Ice Cream,/recipes/chocolate-ice-cream,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Vanilla Ice Cream,/recipes/vanilla-ice-cream,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Japanese Curry,/recipes/japanese-curry,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Thai Green Curry,/recipes/thai-green-curry,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Indian Curry,/recipes/indian-curry,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Mapo Tofu,/recipes/mapo-tofu,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Bucatini Amatriciana,/recipes/bucatini-amatriciana,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,
The 25 Minute No Knead Dough I Use to Make Everything,/recipes/everything-dough,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,
Jerk Chicken,/recipes/jerk-chicken,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,
Ravioli With Marsala Cream Sauce,/recipes/ravioli-with-marsala-cream-sauce,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Basil Pesto Pasta,/recipes/basil-pesto-pasta,,,,,,,,,,,,X,,,,,,X,,X,,,,X,,,,,
Alfredo E Pepe,/recipes/alfredo-e-pepe,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Pasta Vodka,/recipes/pasta-vodka,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
Peri Peri Chicken,/recipes/peri-peri-chicken,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,
